Piramidal,Cuadrantes,Piramidal Invertida,Control,Cardinal,
51.22,50.47,51.57,51.57,51.51,
51.51,51.57,51.57,51.57,51.51,
51.57,51.57,51.57,51.57,51.57,
51.57,51.57,51.57,51.57,51.57,
51.57,51.57,51.57,51.57,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,52.08,51.57, ,51.57,
51.57,52.43,51.57, ,51.67,
51.57,59.07,51.57, ,52.41,
51.57,63.93,51.57, ,53.39,
51.57,64.56,51.57, ,59.4,
51.57,64.7,51.57, ,64.36,
51.57,64.84,51.57, ,64.85,
51.57,64.92,51.57, ,65.32,
51.57,65.07,51.57, ,65.38,
51.57,65.21,51.67, ,65.71,
51.57,65.34,51.92, ,65.73,
51.57,65.36,51.93, ,65.78,
51.57,65.44,53.54, ,65.81,
51.57,65.56,55.75, ,65.84,
51.57,65.69,59.85, ,65.87,
51.57,65.6,62.37, ,65.89,
51.57,65.75,62.9, ,65.91,
51.57,65.7,63.59, ,65.91,
51.57,65.8,63.64, ,65.94,
51.57,65.91,63.85, ,66.01,
51.57,66.02,65.2, ,66.04,
51.57,66.02,65.31, ,66.12,
51.57,66.09,65.32, ,66.15,
51.57,66.11,65.36, ,66.17,
51.57,66.12,65.55, ,66.28,
51.72,66.24,65.68, ,66.38,
51.91,66.27,65.86, ,66.39,
63.24,66.29,65.93, ,66.45,
63.69,66.37,65.93, ,66.45,
63.73,66.37,66.08, ,66.4,
63.74,66.46,66.09, ,66.53,
64.37,66.51,66.11, ,66.61,
64.43,66.57,66.1, ,66.61,
64.97,66.61,66.24, ,66.62,
65.2,66.68,66.36, ,66.63,
65.36,66.74,66.37, ,66.68,
65.56,66.75,66.46, ,66.69,
65.6,66.81,66.49, ,66.6,
65.84,66.81,66.51, ,66.74,
65.87,66.82,66.59, ,66.77,
65.98,66.8,66.61, ,66.78,
66.09,66.93,66.64, ,66.79,
66.17,66.97,66.72, ,66.83,
66.19,67.02,66.92, ,66.8,
66.3,67.11,66.94, ,66.96,
66.41,67.1,67.16, ,67.04,
66.4,67.21,67.18, ,67.12,
66.5,67.26,67.28, ,67.18,
66.63,67.27,67.28, ,67.19,
67.01,67.46,67.35, ,67.61,
67.06,67.97,51.32, ,51.34,
51.36,51.17,51.57, ,51.45,
51.57,51.57,51.57, ,51.51,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,51.57,51.57, ,51.57,
51.57,52.3,51.57, ,51.57,
51.57,61.79,51.57, ,51.57,
51.57,66.03,51.57, ,51.57,
51.57,66.47,51.57, ,51.57,
51.57,66.57,51.57, ,51.57,
51.57,66.89,51.57, ,51.67,
51.57,67.22,51.57, ,51.75,
51.57,67.2,51.57, ,51.99,
51.57,67.54,51.57, ,52.16,
51.57,67.62,51.57, ,52.24,
51.57,67.75,51.57, ,64.2,
51.57,68.05,51.57, ,65.86,
51.57,68.06,51.57, ,66.22,
51.57,68.0,51.57, ,66.45,
51.57,68.17,51.57, ,66.77,
51.57,68.18,51.57, ,66.7,
51.57,68.21,51.57, ,67.21,
51.57,68.22,51.57, ,67.29,
51.57,68.3,51.57, ,67.42,
51.57,68.42,51.57, ,67.54,
51.57,68.42,51.57, ,67.74,
51.57,68.47,51.57, ,67.74,
51.57,68.53,51.57, ,67.8,
